КП 	АРМ Социолог	Delphi 7.0	1200
Программа 	База данных "Автомобили"	Delphi 7.0	800
КП 	База данных "Автостоянка"	Delphi 7.0	800+
Программа 	База данных "Автоэкспедиции"	Delphi 7.0	400
Программа 	База данных "Акции"	Delphi 7.0	600+
КП 	База данных "АРМ Библиотека с разделением прав доступа" (ADO)	Delphi 7.0	800+
ВКР 	База данных "АРМ менеджера строительной компании" (технология ADO, СБД - MS SQL Server 2000)	Delphi 7.0	1600+
КП 	База данных "Архив по кабельным коммуникациям" (ADO, Access)	Delphi 7.0	1000+
ЛР 	База данных "Банки"	Delphi 7.0	800
КП 	База данных "Библиотека"	Delphi 7.0	700+
Программа 	База данных "Биржа труда"	Delphi 7.0	800+
КП 	База данных "Биржа труда" (Delphi + СУБД Access)	Delphi 7.0	600
КП 	База данных "Больница" (SQL Server 2000)	Delphi 7.0	1000+
КП 	База данных "Внутрифирменная разработка проектов" (Регистрация проектов) - INTERBASE	Delphi 7.0	500+
КП 	База данных "ВУЗ"	Delphi 7.0	1000+
Программа 	База данных "ГАИ"	Delphi 7.0	600
ВКР 	База данных "Депозитарий ценных бумаг"	Delphi 7.0	1300+
КП 	База данных "Дерево комплектации" (Interbase)	Delphi 7.0	1000+
Программа 	База данных "Должностные оклады"	Delphi 7.0	800
КП 	База данных "Железнодорожный вокзал"	Delphi 7.0	900+
Программа 	База данных "Записная книжка" на классах (база в текстовых файлах)	Delphi 7.0	700
КП 	База данных "Звезды кино"	Delphi 7.0	700+
КП 	База данных "Издания" (Firebird)	Delphi 7.0	1000+
КП 	База данных "Ипотека"	Delphi 7.0	1400
КП 	База данных "Кадровый учет"	Delphi 7.0	500+
КП 	База данных "Кадровый учет" (ADO, SQL Server 2000)	Delphi 7.0	1300+
КП 	База данных "Кадровый учет" (Interbase)	Oracle	1600+
КП 	База данных "Кадровый учет+формирование приказов"	Delphi 7.0	700+
КР 	База данных "Картриджи" (Delphi + Access)	Delphi 7.0	200
ВКР 	База данных "Каталог автозапчастей" (Interbase)	Delphi 7.0	1400+
КП 	База данных "Кафе" (формирование счета в кафе)	Delphi 7.0	600+
КП 	База данных "Книжный магазин" (версия 3) (ADO+Access)	Delphi 7.0	1200+
Программа 	База данных "Коммунальные услуги"	Delphi 7.0	600
КП 	База данных "Комплектация компьютера"	Delphi 7.0	900+
КП 	База данных "Комплектующие компьютера"	Delphi 7.0	700+
КП 	База данных "Кулинарная книга" (MS SQL Server 2000)	Delphi 7.0	1200+
ЛР 	База данных "Курсы валют"	Delphi 7.0	400+
КП 	База данных "Личная библиотека"	Delphi 7.0	600+
Программа 	База данных "Личная видиотека" (ADO, Access)	Delphi 7.0	1000
КП 	База данных "Магазин автозапчастей" (SQL Server 2000)	Delphi 7.0	1000+
КП 	База данных "Магазин бытовой техники"	Delphi 7.0	600+
КП 	База данных "Магазин по продаже СИМ-карт"	Oracle	1600+
Программа 	База данных "Магазин"	Delphi 7.0	500
КП 	База данных "Массажный салон"	Delphi 7.0	1400+
КП 	База данных "медицинские услуги пациентов в стационаре по датам"	Delphi 7.0	400+
КП 	База данных "Микросхемы цифровые, интерфейс RS-232" (справочник)	Delphi 7.0	1200+
КП 	База данных "Налоги" на Delphi	Delphi 7.0	1200+
КП 	База данных "Начисление зарплаты"	Delphi 7.0	600+
КП 	База данных "Начисление основной зарплаты сотрудников"	Delphi 7.0	1000+
КП 	База данных "Оборудование школы"	Delphi 7.0	940
КП 	База данных "Оперативный учет материалов и выпуска готовой продукции"	Delphi 7.0	800+
КП 	База данных "Оплата жилищно-коммунальных услуг" (Interbase)	Delphi 7.0	600+
ВКР 	База данных "Оптовая база "Мир красок" (продажа лакокрасочной продукции оптом и в розницу, складской учет, авторизация) (ADO + Access)	Delphi 7.0	2600+
Программа 	База данных "Отдел кадров школ" (список учителей всех школ)	Delphi 7.0	600
КП 	База данных "Отделение связи" (Подписка на периодические издания) - INTERBASE	Delphi 7.0	500+
Программа 	База данных "Отделка под ключ" (база данных строительной фирмы)	Delphi 7.0	600
КП 	База данных "Отели"	Delphi 7.0	600+
КП 	База данных "Отель"	Delphi 7.0	700+
КП 	База данных "Отель" (Interbase)	Delphi 7.0	700+
Программа 	База данных "Паспорта" (DBExpress, Interbase)	Delphi 7.0	800+
КП 	База данных "Паспортный стол" (ADO, Access)	Oracle	1400+
Программа 	База данных "Перевозки"	Delphi 7.0	500
Программа 	База данных "План-отчет по кафедрам"	Delphi 7.0	2200
ВКР 	База данных "Подземные кабельные сооружения города Москва"	Delphi 7.0	1400+
КП 	База данных "Поликлиника"	Delphi 7.0	1780+
Программа 	База Данных "Потребительская корзина" (ADO. Access)	Delphi 7.0	1300
КП 	База данных "Прием коммунальных платежей"	Delphi 7.0	600+
Программа 	База данных "Приемная комиссия в ВУЗе"	Delphi 7.0	1000
КП 	База данных "Продажа билетов на самолеты" (SQL Server 2000)	Delphi 7.0	1000+
Программа 	База данных "продажа и склад"	Delphi 7.0	2000
КП 	База данных "Рабочее место коммунальной службы. АРМ ЖКХ" (SQL Server)	Delphi 7.0	900+
Программа 	База данных "Рабочие документы" (СУБД Interbase)	Delphi 7.0	2400
Программа 	База данных "Расчет комиссионных" (BDE, Paradox)	Delphi 7.0	800
ВКР 	База данных "Расчет платежей за интернет. Биллинг." (SQL Server)	Delphi 7.0	1600+
ВКР 	База данных "Расчет платежей за интернет. Биллинг." (СУБД Interbase)	Delphi 7.0	1600+
КП 	База данных "Регистратура поликлиники"	Delphi 7.0	670
КП 	База данных "Регистратура поликлиники" (ADO, Access, Word)	Delphi 7.0	1200+
КП 	База данных "Регистрация ошибок программ" (ADO, Access)	Delphi 7.0	1000+
Программа 	База данных "Регистрация посетителей"	Delphi 7.0	800
КП 	База данных "Рекламная фирма" (технология ADO, СУБД Access) (версия 2)	Delphi 7.0	1200+
КП 	База данных "Рекламная фирма. Учет рекламных щитов" (ADO, Access)	Delphi 7.0	900+
Программа 	База данных "Ремонт компьютерной техники"	Delphi 7.0	1000
ВКР 	База данных "Ремонт оргтехники" (ADO, SQL Server)	Delphi 7.0	3000+
КР 	База данных "Роботы"	Delphi 7.0	600+
Программа 	База данных "Салон красоты"	Delphi 7.0	700
КП 	База данных "Семейный бюджет"	Delphi 7.0	500+
КП 	База данных "Семейный бюджет" (ADO, Access)	Delphi 7.0	1200+
Программа 	База данных "Семейный бюджет" (учет покупок)	Delphi 7.0	500
КП 	База данных "Сеть автостоянок" (Interbase)	Delphi 7.0	1200+
ВКР 	База данных "Система управления перевозками" (SQL Server)	Delphi 7.0	2600+
КП 	База данных "Склад комплектующих"	Delphi 7.0	600+
КП 	База данных "Склад лакокрасочных изделий"	Delphi 7.0	500+
Программа 	База данных "Склад спортивного инвентаря"	Delphi 7.0	500
ВКР 	База данных "Склад" (Автоматизированная Система Управления "Хранитель")	Delphi 7.0	2000+
ВКР 	База данных "Складской учет материальных ценностей" (версия 2) (ADO, Access)	Delphi 7.0	1200+
КП 	База данных "Складской учет" с поддержкой формирования отчетов	Delphi 7.0	700+
Программа 	База данных "Служба спасения"	Oracle	900
КП 	База данных "Смета стоимости домов"	Delphi 7.0	800
КП 	База данных "Сотрудники научного учреждения "Прогресс"	Delphi 7.0	600+
КП 	База данных "Сотрудники учреждения Прогресс" (CSV)	Delphi 7.0	1200+
Программа 	База данных "Сотрудники" (МS Sql Server 2000)	Delphi 7.0	1400
КП 	База данных "Список друзей"	Delphi 7.0	700+
КП 	База данных "Справочная аэропорта"	Delphi 7.0	800+
КП 	База данных "Справочная по туристическим маршрутам" (ADO + Access)	Delphi 7.0	700+
Программа 	База данных "Справочник покупателя"	Delphi 7.0	800
Программа 	База данных "Справочник учебных заведений" ADO + SQL SERVER	Delphi 7.0	700+
КП 	База данных "Студенты ВУЗа"	Delphi 7.0	950+
ВКР 	База данных "Студенты. Преподаватели. Материальные ценности." (Interbase)	Delphi 7.0	2000+
Программа 	База данных "Табель рабочего времени"	Delphi 7.0	800
КП 	База данных "Такси" (ADO + Access)	Delphi 7.0	1600+
КП 	База данных "Танки"	Delphi 7.0	890+
Программа 	База данных "Телефонная книжка" (Access, ADO, QuickRep, MApi, ini)	Delphi 7.0	700
КП 	База данных "Телефонный справочник предприятия"	Delphi 7.0	600+
Программа 	База данных "Телефонный справочник"	Delphi 7.0	600
Программа 	База данных "Телефонный справочник" (версия 2)	Delphi 7.0	240
Программа 	База данных "Телефонный справочник" (версия 3)	Delphi 7.0	600+
ЛР 	База данных "Телефонный справочник" (версия 4) (ADO + Access)	Delphi 7.0	400
КП 	База данных "Телефонный справочник" (распределенная)	Delphi 7.0	900+
Программа 	База данных "Телефонный справочник" с поиском по вхождению	Delphi 7.0	500+
Программа 	База данных "Товарные накладные"	Delphi 7.0	800+
КП 	База данных "Транспортное агентство"	MongoDB	900+
Программа 	База данных "Турагентство"	Delphi 7.0	600+
КП 	База данных "Туристическая фирма"	Delphi 7.0	400+
КП 	База данных "Туристическая фирма" (SQL Server 2000)	Delphi 7.0	1000+
КП 	База данных "Турфирма"	Delphi 7.0	900+
КП 	База данных "Турфирма"	Delphi 7.0	900+
КП 	База данных "Турфирма"	Delphi 7.0	890+
КП 	База данных "Успеваемость в школе". (Interbase)	Delphi 7.0	1000+
КП 	База данных "Учет вещевого довольствия"	Delphi 7.0	400+
ВКР 	База данных "Учет вкладов населения" (ADO, SQL Server)	Delphi 7.0	1400+
КП 	База данных "Учет дипломных работ" (SQL Server)	Delphi 7.0	700+
КП 	База данных "Учет износа автозапчастей" (SQL Server 2000)	MongoDB	1600+
ВКР 	База данных "Учет имущества городского управления МЧС"	Delphi 7.0	1600+
ВКР 	База данных "Учет комплектующих ПК"	Delphi 7.0	1000+
Программа 	База данных "Учет комплектующих ПК" (версия 2)	Delphi 7.0	400
ВКР 	База данных "Учет компьютерного оборудования" (ADO, Access)	Delphi 7.0	2000+
КП 	База данных "Учет компьютерной техники"	Delphi 7.0	900+
ВКР 	База данных "Учет оборудования" (SQL Server)	Delphi 7.0	2000+
КП 	База данных "Учет обслуживания автомобилей на автосервисе"	Delphi 7.0	2000+
КП 	База данных "Учет основных средств" (ADO, Access)	Delphi 7.0	800+
Программа 	База данных "Учет работ в автосервисе" (Interbase)	Delphi 7.0	1600+
Программа 	База данных "Учет работ"	Delphi 7.0	1600
ВКР 	База данных "Учет товаров в магазине"	Delphi 7.0	1600+
КП 	База данных "Учет транспортных средств в ГАИ" (DBЕxpress, Interbase)	Delphi 7.0	1000+
КП 	База данных "Фотоальбом" (ADO + Access)	Delphi 7.0	600
КП 	База данных "Центр реабилитации" (InterBase)	Delphi 7.0	700+
Программа 	База данных "Эксплуатация автомашин" (SQL Server)	MongoDB	1600
КП 	База данных "Электронный деканат" (Delphi + MS SQL Server)	Delphi 2007-201x	3000+
Программа 	База данных документов	Delphi 7.0	600
КП 	База данных на тему "Учет и анализ представления услуг в туристическом агентстве"	Delphi 7.0	1400
КП 	База данных рекламных роликов	Delphi 7.0	400+
КП 	База данных рецептов "Властилин вкуса"	Delphi 7.0	600+
КП 	База данных сотрудников колледжа (DELPHI + MS SQL SERVER)	Delphi 7.0	2000+
КП 	База данных учебных заведений России	Delphi 7.0	1920
КП 	База данных учета автомобилей (Delphi + Access)	Delphi 7.0	400+
КП 	База данных учета движения готовой продукции, сырья и денежных средств на миниНПЗ	Delphi 7.0	1400
КП 	База данных учета компьютерной техники на предприятии (ADO, SQL Server)	Delphi 7.0	1400+
КП 	База данных «Расписание спортивного комплекса» (Delphi + MS SQL Server)	Delphi 7.0	2000+
КП 	База данных «Справочники» (Delphi + Access)	Delphi 7.0	700
ВКР 	База даных "Пункт обмена валюты" (Intrebase)	MongoDB	2400+
КП 	База студентов колледжа (Delphi + MS SQL SERVER)	Delphi 7.0	800+
КП 	БД "Учет рабочего времени сотрудников" (ADO + Access)	Delphi 7.0	1000+
КП 	БД Агентство недвижимости (учет объектов недвижимости и договоров аренды) (ADO + Access)	Delphi 7.0	1600+
КП 	БД Биоэнергетические потенциалы	Delphi 7.0	400+
ВКР 	БТИ-бюро	Delphi 7.0	2200
Программа 	Генеалогическое дерево (Interbase)	Delphi 7.0	1000
Программа 	Диалоговая система по обмену жилья	Delphi 7.0	600
КП 	Диспетчерская служба такси (Delphi + MS SQL Server)	Delphi 7.0	700+
КП 	Документооборот предприятия	Delphi 7.0	1600+
Программа 	Доставка роллов (Делфи+Аксесс)	Delphi 7.0	2200
КП 	Ежедневник	Delphi 7.0	900+
КП 	Ежедневник (версия 2) (ADO + Access)	Delphi 7.0	600
ВКР 	Ежедневник (личное время)	Delphi 7.0	1200
Программа 	Записная книжка	Delphi 7.0	360
ЛР 	Записная книжка	Delphi 2007-201x	670+
КП 	Игра "Да, Нет"	Delphi 7.0	1330
Программа 	Игра "Рынок"	Delphi 7.0	400
ВКР 	Интерактивная система обучения	Delphi 7.0	2000+
КП 	Информационная система "АБИТУРИЕНТ" по автоматизации работы приемной комиссии ВУЗа	Delphi 7.0	1480+
КП 	Информационная система "Заведующий отделением"	Delphi 7.0	1800
КП 	Информационная система "Отдел кадров" (Delphi+ADO+Access)	Delphi 7.0	800
ВКР 	Информационная система "Управление проблемной задолженностью физических лиц"	Delphi 7.0	1800
КП 	Информационная система "Частная хлебопекарня"	Delphi 7.0	2400+
КП 	Информационная система автоматизации деятельности IT-компании	MongoDB	1400+
ВКР 	Информационная система автоматизации и учета отдела кадров (Delphi + Access)	Delphi 7.0	1400+
КП 	Информационная система ГИБДД	Delphi 7.0	2220+
КР 	Информационная система для автоматизации учета заказов компании, занимающейся оптовой продажей	Delphi 7.0	800+
КП 	Информационная система для автоматизации учета получения и выдачи книг в библиотеке	Delphi 7.0	1500
КП 	Информационная система для автоматизации учета получения и выдачи книг в библиотекем	Delphi 2007-201x	1500+
КП 	Информационная система обойного центра «Ер косай»	Delphi 7.0	1780+
ПР 	Информационная система организации работы фото-видеостудии "Брэнд"новая	Delphi 7.0	900+
КП 	Информационная система по автоматизации работы магазина обуви	Delphi 7.0	1980+
КП 	Информационная система расчета страховых взносов и взысканий (СУБД Access или SQL Server 2008 R2)	Delphi 7.0	1000+
ВКР 	Информационная система учета и анализа продаж (Delphi + MS SQL Server)	Delphi 7.0	2900
ВКР 	Информационная система учета слесарно-монтажных работ в цехуновая	Delphi 7.0	1780+
ВКР 	Информационная Система «тренажер терминов по дисциплине Информационные технологии» (Delphi + Access)	Delphi XE	1400+
Программа 	Информационно-аналитическая система «Библиотека»новая	Delphi 7.0	670
Программа 	Информационно-аналитическая система «КАСКО»новая	Delphi 7.0	670
КП 	Информационно-методическое обеспечение дошкольного образовательного учреждения (ДОУ)	Delphi 7.0	900+
КП 	Информационно-справочная система «Регистрация происшествий»	Delphi 7.0	900+
ВКР 	Информационное обеспечение трубного производства	MongoDB	900+
ВКР 	ИС "Автосервис"	Delphi 7.0	2900
ВКР 	ИС "Мотоклубы"	Delphi 7.0	1400+
ВКР 	ИС "Оптовая база "Канцтовары" (продажа канцтоваров оптом и в розницу, складской учет, авторизация) (ADO+Access)	Delphi 7.0	2600+
ВКР 	ИС "Оптовая база мебели" (продажа мебели оптом и в розницу, складской учет, авторизация) (ADO + Access или SQL Server)	Delphi 7.0	2600+
КП 	ИС "Органайзер закупки товаров"	Delphi 7.0	1600+
КП 	ИС "Публикации"	Delphi 7.0	1400
Программа 	ИС "Торговые организации" (Interbase)	Delphi 7.0	900
Программа 	ИС Библиотеки (ADO+ACCESS)	Delphi 7.0	900
ВКР 	ИС торговой организации "Мебельная фабрика"	Delphi 7.0	1600+
КП 	Исследование рынков	Delphi 7.0	1200+
Программа 	Касса автовокзала (Delphi + Access)	Delphi 2010 (Rad Studio)	890
Программа 	Каталог дисков	Delphi 7.0	800
Программа 	Клиент и сервер печати (DCOM)	Delphi 7.0	800
КП 	Книжный магазин	Delphi 7.0	600+
ЛР 	Кольцевой список	Delphi 7.0	400
КП 	Компьютерный магазин (Delphi + Access)	Delphi 7.0	1110
ВКР 	Магазин компьютерной техники. Склад. Комплектующие. SQL Server	Delphi 7.0	5000+
КП 	Магазин по продаже компьютерной техники (Delphi + Access)	Delphi 7.0	500
КП 	Маршруты городских автобусов	Delphi 7.0	1900+
Программа 	Менеджер проката (SQL Server 2000)	Delphi 7.0	1000+
Программа 	Мониторинг взносов	Delphi 7.0	1400
ВКР 	Мониторинг взносов за учебу (SQL Server)	Delphi 7.0	2000+
КП 	МР3-коллекция с возможностью редактирования m3u (WinAmp)	Delphi 7.0	1200+
КП 	Организация базы данных "Библиотека"	Delphi 7.0	800+
КП 	Пекарня (Delphi + СУБД Access)	Delphi 7.0	700+
КП 	Поиск всех гамильтоновых циклов	Delphi 7.0	1000+
КП 	Поиск кратчайшего пути в московском метрополитене	Delphi 7.0	1600+
КП 	Поиск пути по карте через несколько станций	Delphi 7.0	1000+
КП 	Поликлиника (Delphi + Access)	Delphi 7.0	890
КП 	Помощник преподавателя на экзамене	Delphi 7.0	460+
КП 	Помощник экзаменатора	Delphi 7.0	600+
КП 	Прививки	Delphi 7.0	1300
ВКР 	Приложение для работы с базой данных "Ремонт и продажа мобильной электроники" (Delphi + Access)	Delphi 7.0	900
КП 	Провайдер	Delphi 7.0	900+
Программа 	Программа для тестирования (версия 1)	Delphi 7.0	1000
Программа 	Программа для тестирования (версия 2)	Delphi 7.0	1400
Программа 	Программа для тестирования (версия 3)	Delphi 7.0	1400
ВКР 	Программа для управления собственниками жилья (ТСЖ)	Delphi 7.0	2400+
КП 	Программа формирования списков «Бухгалтерия»	Delphi 7.0	1600+
Программа 	Программа, в которой при наведении на текст выделяется слово(цветом) и показывается его расшифровка	Delphi 7.0	1550
КП 	Проектирование базы данных "Складской учет"	Delphi 7.0	1200+
КП 	Проектирование базы данных для информационного агентства	Delphi 7.0	1400+
Программа 	Проектирование модуля информационной системы стимулирования деятельности педагогических	Delphi 7.0	1800
КП 	Прокат и продажа велосипедов (Delphi XE3)	Delphi XE3	1500+
КП 	Психологический тест (база данных + графики)	Delphi 7.0	800+
Программа 	Психологический тест. Психологический климат в коллективе	Delphi 7.0	1000+
ВКР 	Разработка автоматизированного учёта услуг, предоставляемых МКУ СОК «Жемчужина»	Delphi 7.0	1550+
КП 	Разработка автоматизированной информационной системы по ведению складского учета товара на примере магазина МастерОК	Delphi 7.0	1600+
ВКР 	Разработка автоматизированной информационной системы по работе с клиентами (на примере АО «ТЭК»)	Delphi 7.0	2200+
ВКР 	Разработка автоматизированной системы учета электрооборудования ОАО "Мосводоканал"	Delphi 7.0	2200+
ВКР 	Разработка АИС обучения и контроля знаний по основам работы в MS Excel 2007 (Delphi + MS SQL Server)	Delphi 7.0	3000+
КП 	Разработка БД и программного интерфейса для автоматизации учета компьютерной, офисной техники и комплектующих	Delphi 7.0	2800+
КП 	Разработка информационной системы для обеспечения приемо-сдаточных испытаний блока	Delphi 7.0	2000+
КП 	Разработка программы учета клиентов банка	Delphi 7.0	1000+
Программа 	Расписание занятий на неделю	Delphi 7.0	3600
ВКР 	Расписание отпусков медицинских сотрудников (Delphi + Access)	Delphi 2007-201x	1400+
КП 	Расчет показателей потребления и распределения доходов населения	Delphi 7.0	900+
Программа 	Редактор звука	Delphi 7.0	600
Программа 	Рейтингование студентов	Delphi 7.0	1800
КП 	Ремонт компьютеров (Delphi + БД MS Access)новая	Delphi 7.0	1110+
КП 	Система автоматизации работы автосалона (Delphi + MS SQL Server)	Delphi 7.0	500
КП 	Система для хранения и выдачи информации о товарах (Delphi + Access)	Delphi 7.0	1110+
КП 	Система подбора недвижимости для обмена	Delphi 7.0	800+
КП 	Система поиска вакансий (Delphi + Access)	Delphi 7.0	1500+
КР 	Служба такси (Delphi + СУБД Access)	Delphi 7.0	500
КП 	Создание и ведение базы данных абитуриентов колледжа (Delphi + Access)	Delphi 7.0	600+
КП 	Создание и ведение базы данных любителя кино (Delphi + MS SQL SERVER)	Delphi 7.0	900
КП 	Создание и ведение базы данных продажи товаров в кредит (Delphi + MS SQL Server)	Delphi 7.0	800+
КП 	Создание и ведение базы данных резервирования авиабилетов (Delphi 7 + MS SQL SERVER 2008)	Delphi 7.0	2000
ЛР 	Создание системы-справочника по Киноархиву	Delphi 7.0	700
Программа 	Составление расписания занятий в гимназии	Delphi 7.0	2600
КП 	Справочная система по стандартным функциям Турбо Паскаль	Delphi 7.0	600+
КР 	Справочник географа	Delphi 7.0	900+
КП 	Телефонный справочник	Delphi 7.0	800+
КП 	Телефонный справочник с использованием объектно-ориентированной технологии программирования (ООП)	Delphi 7.0	1000+
КП 	Терминология. База определений какой-либо науки(математика): вводимый термин, его толкование (опреде	Delphi 7.0	400+
ЛР 	Тест "Столицы стран мира"	Delphi 7.0	200
Программа 	Тест в ГИБДД (Interbase, DBExpress, 3х уровневый доступ, DCOM)	Delphi 7.0	1200
Программа 	Тест на знание операторов языка Turbo Pascal, справочник по операторам языка Паскаль	Delphi 7.0	600
КП 	Тест по кинематике (СУБД Access)	Delphi 7.0	1200+
КП 	Тестирование (проверка знаний студентов по информационным технологиям)	Delphi 7.0	1000+
КП 	Тестирование по информатике	Delphi 7.0	800+
Программа 	Тестирование человека по тестам IQ и ММРI	Delphi 7.0	1000
КП 	Туристическое агентство (версия 2) (SQL Server 2000)	Delphi 7.0	800+
КП 	Турфирма (Арм менеджера турфирмы, АИС турфирмы) (ADO + Access)	Delphi 7.0	1600+
ВКР 	Управление складом на предприятии ОАО "Нефтекамский автозавод"	Delphi 7.0	4840+
КП 	Учет всех рыб страны	Delphi 7.0	700+
КП 	Учет граждан, нуждающихся в улучшении жилищных условий (Access)	Delphi 2010 (Rad Studio)	890+
КР 	Учет животных в зоопарке (Delphi + ADO + Access)	Delphi 7.0	500
КП 	Учет и распределение по курьерам товара в интернет-магазине	Delphi 7.0	980
ВКР 	Учет кадров на предприятии	Delphi 7.0	2200+
КП 	Учет кадров университета и его подразделений	Delphi 7.0	1780+
Программа 	Учет клиентов и услуг фотостудии	Delphi XE	1780
КП 	Учет компьютеров и комплектующих на предприятии	Delphi 7.0	890
ВКР 	Учет материальных ценностей (Delphi+ADO+Access)	Delphi 7.0	900+
КП 	Учет поступлений и продаж товара в ООО "Гефест"	Delphi 7.0	900
Программа 	Учет работ и событий для диспетчера коммунальной службы	Delphi 7.0	1900
КП 	Учет расхода комплектующих на предприятии	Delphi 7.0	1600+
КП 	Учет расхода материалов, используемых при выпуске продукции	Delphi 7.0	1800+
КП 	Учет расходов (для домохозяек)	Delphi 7.0	1200+
КП 	Учет сбыта продукции молочного комбината (формирование ведомости водителей)	Delphi 7.0	400+
КП 	Учёт оборудования на предприятии	Delphi 7.0	1000+
КП 	Учёт программного обеспечения	Delphi 7.0	1400
Программа 	Формирование психологической характеристики ученика (в Word)	Delphi 7.0	1900
Программа 	Фотоальбом	Delphi 7.0	500
КП 	Фотоцентрновая	Delphi 7.0	1550
КП 	ЭИС по учету затрат на производство продукции (ADO + Access)	Delphi 7.0	800+
ВКР 	ЭИС поддержки обслуживания клиентов	Delphi 7.0	2200
КП 	ЭИС учета туристических услуг корпоративным клиентам (Delphi+MySQL)	Delphi 7.0	1000
КП 	Экспертная оценка. Ранжирование (графы, ADO, Access)	Delphi 7.0	1400+
КП 	Экспертная система "Определение платежеспособности клиента банка для предоставления кредита"новая	Delphi 7.0	880+
КП 	Экспертная система (Delphi + ADO + Access)	Delphi 7.0	2000+
Программа 	Экспертная система поиска людей	Delphi 7.0	600
Программа 	Экспорт данных из таблицы в Excel	Delphi 7.0	960
Программа 	Электронная зачетка	Delphi 7.0	1800
ВКР 	Электронный архив документов (Interbase)	Delphi 7.0	1400+
КП 	Электронный архив документов на Delphi + Interbase	Delphi 7.0	2500+
КП 	Электронный ежедневник	Delphi 7.0	2200+
ВКР 	Электронный учебный школьный журнал учителя	Delphi XE	2990+
